company_id,company
1,Sun Taxi
2,Blue Ribbon Taxi Association
3,Flash Cab
4,City Service
5,5 Star Taxi
6,Taxi Affiliation Services
7,Taxicab Insurance Agency Llc
8,Tac - Yellow Cab Association
9,Chicago Taxicab
10,Tac - American United Dispatch
11,Chicago Independents
12,Top Cab
13,Medallion Leasin
14,Globe Taxi
15,Choice Taxi Association
16,Choice Taxi Association Inc
17,"Taxicab Insurance Agency, LLC"
18,Chicago City Taxi Association
19,Wolley Taxi
20,312 Medallion Management Corp
21,Patriot Taxi Dba Peace Taxi Associat
22,Tac - Checker Cab Dispatch
23,4053 - 40193 Adwar H. Nikola
24,6574 - Babylon Express Inc.
25,3556 - 36214 RC Andrews Cab
26,U Taxicab
27,Setare Inc
28,Koam Taxi Association
29,Star North Taxi Management Llc
30,2733 - 74600 Benny Jona
31,Tac - Blue Diamond Dispatch
32,5167 - 71969 5167 Taxi Inc
33,Metro Jet Taxi A.
