datetime,tempretaure,wind_speed,rain,precipitation
2024-10-02 00:00:00,16.3,21.7,0.0,0.0
2024-10-02 01:00:00,15.4,17.6,0.0,0.0
2024-10-02 02:00:00,14.7,16.4,0.0,0.0
2024-10-02 03:00:00,14.0,15.0,0.0,0.0
2024-10-02 04:00:00,13.6,15.1,0.0,0.0
2024-10-02 05:00:00,13.2,15.4,0.0,0.0
2024-10-02 06:00:00,12.7,15.4,0.0,0.0
2024-10-02 07:00:00,12.3,13.1,0.0,0.0
2024-10-02 08:00:00,11.9,12.3,0.0,0.0
2024-10-02 09:00:00,11.4,13.0,0.0,0.0
2024-10-02 10:00:00,10.8,11.2,0.0,0.0
2024-10-02 11:00:00,10.1,10.8,0.0,0.0
2024-10-02 12:00:00,9.3,8.9,0.0,0.0
2024-10-02 13:00:00,10.9,7.9,0.0,0.0
2024-10-02 14:00:00,13.3,8.1,0.0,0.0
2024-10-02 15:00:00,15.9,9.6,0.0,0.0
2024-10-02 16:00:00,17.5,13.6,0.0,0.0
2024-10-02 17:00:00,18.4,14.3,0.0,0.0
2024-10-02 18:00:00,19.1,15.6,0.0,0.0
2024-10-02 19:00:00,19.7,17.6,0.0,0.0
2024-10-02 20:00:00,20.1,18.5,0.0,0.0
2024-10-02 21:00:00,20.2,17.8,0.0,0.0
2024-10-02 22:00:00,19.9,17.9,0.0,0.0
2024-10-02 23:00:00,18.4,14.4,0.0,0.0
