company_type_id,company
1,Taxi Affiliation Services
2,Sun Taxi
3,Taxicab Insurance Agency Llc
4,Flash Cab
5,Tac - Yellow Cab Association
6,Globe Taxi
7,Blue Ribbon Taxi Association
8,City Service
9,5 Star Taxi
10,Chicago Independents
11,Choice Taxi Association
12,Tac - American United Dispatch
13,Choice Taxi Association Inc
14,Chicago City Taxi Association
15,"Taxicab Insurance Agency, LLC"
16,Medallion Leasin
17,Tac - Checker Cab Dispatch
18,Wolley Taxi
19,Chicago Taxicab
20,4053 - 40193 Adwar H. Nikola
21,312 Medallion Management Corp
22,U Taxicab
23,Patriot Taxi Dba Peace Taxi Associat
24,Top Cab
25,Setare Inc
26,Koam Taxi Association
27,2733 - 74600 Benny Jona
28,6574 - Babylon Express Inc.
